#	15000	0.001000	15.000000
   0.00100	7.2152039256964803e+43	6.4915309728754292e+37
   0.00200	1.2961358373212735e+43	1.5877931727059158e+37
   0.00300	9.7185106669235429e+41	1.4587967538078929e+36
   0.00400	2.5175938485133194e+38	5.1663499965869215e+32
   0.00500	2.4843451636216309e+36	6.9053670469741815e+30
   0.00600	1.0313534355706867e+35	3.8509810724889828e+29
   0.00700	8.9970890850558759e+33	4.4202264779996660e+28
   0.00800	1.2308962807284472e+33	7.7888678593873007e+27
   0.00900	2.2849699256062340e+32	1.8370462699507065e+27
   0.01000	5.3321075190915552e+31	5.4220442747332333e+26
   0.01100	1.5160157592981202e+31	1.9221818475734890e+26
   0.01200	5.3218294983718839e+30	7.6906341005720984e+25
   0.01300	1.9474677517672575e+30	3.2316823629002500e+25
   0.01400	7.5555898669974745e+29	1.4369370335617091e+25
   0.01500	3.1099959601843258e+29	6.7479604585806156e+24
   0.01600	1.3530896007924043e+29	3.3329918078084481e+24
   0.01700	6.1933498950182706e+28	1.7240853860979713e+24
   0.01800	2.9689594683553564e+28	9.3044429286943632e+23
   0.01900	1.4849342977075720e+28	5.2216918243523480e+23
   0.02000	7.7266658401915942e+27	3.0383376575109950e+23
   0.02100	4.1757351830681676e+27	1.8272188792696779e+23
   0.02200	2.3433600712180027e+27	1.1309970772135401e+23
   0.02300	1.3676677886382737e+27	7.1594567368615844e+22
   0.02400	8.1236185457939816e+26	4.6118045544322920e+22
   0.02500	4.9131339894202274e+26	3.0228285802594859e+22
   0.02600	3.0256046171906185e+26	2.0153582313471769e+22
   0.02700	1.8968947518467963e+26	1.3659488396130791e+22
   0.02800	1.2105969732527326e+26	9.4038447185837896e+21
   0.02900	7.8651170538882772e+25	6.5685669832161629e+21
   0.03000	5.1964368266923980e+25	4.6486594863985035e+21
   0.03100	3.4807184010692680e+25	3.3296826102289070e+21
   0.03200	2.3638078307670681e+25	2.4119620051404398e+21
   0.03300	1.6278937403628784e+25	1.7651502850578338e+21
   0.03400	1.1373561781524116e+25	1.3031972676120488e+21
   0.03500	8.0113292070088865e+24	9.6964845620348335e+20
   0.03600	5.6892992835026627e+24	7.2704280797777992e+20
   0.03700	4.0732102857459929e+24	5.4928103058843114e+20
   0.03800	2.9396767132468026e+24	4.1807278275044101e+20
   0.03900	2.1384605675865022e+24	3.2051894413081497e+20
   0.04000	1.5678248548764056e+24	2.4746246596535003e+20
   0.04100	1.1583831103494887e+24	1.9235911510565739e+20
   0.04200	8.6246763537429535e+23	1.5050044100063268e+20
   0.04300	6.4709175966755993e+23	1.1847614782491994e+20
   0.04400	4.8926239480101721e+23	9.3799902306445017e+19
   0.04500	3.7283750094847175e+23	7.4647285849482019e+19
   0.04600	2.8555952613525128e+23	5.9690572977030619e+19
   0.04700	2.1981915008778108e+23	4.7956953848856986e+19
   0.04800	1.7006414535097054e+23	3.8709664333370835e+19
   0.04900	1.3222772922124156e+23	3.1388545479027126e+19
   0.05000	1.0331884946230020e+23	2.5565994876549202e+19
   0.05100	8.1128137036128328e+22	2.0914256145570427e+19
   0.05200	6.4016388738421663e+22	1.7181062543950193e+19
   0.05300	5.0761966959185801e+22	1.4171444312332806e+19
   0.05400	4.0450329119534453e+22	1.1734093301686952e+19
   0.05500	3.2393756340755697e+22	9.7511061160887398e+18
   0.05600	2.6072794608994347e+22	8.1302395676661166e+18
   0.05700	2.1061777960434213e+22	6.7999406467419003e+18
   0.05800	1.7076468448364251e+22	5.7044623898669619e+18
   0.05900	1.3890969155030940e+22	4.7994612147909857e+18
   0.06000	1.1335460790142341e+22	4.0496138010133033e+18
   0.06100	9.2792496568193683e+21	3.4265328627760425e+18
   0.06200	7.6199000076084220e+21	2.9072988480071905e+18
   0.06300	6.2769062564748644e+21	2.4733594006923715e+18
   0.06400	5.1868231421107372e+21	2.1096585130658693e+18
   0.06500	4.2995107320440590e+21	1.8039460737268938e+18
   0.06600	3.5752328965578377e+21	1.5462292893490532e+18
   0.06700	2.9824101489354306e+21	1.3283358637733076e+18
   0.06800	2.4937425940746716e+21	1.1436378755854318e+18
   0.06900	2.0900377318489952e+21	9.8674432563810266e+17
   0.07000	1.7557852086455800e+21	8.5318554158671706e+17
   0.07100	1.4784268883169373e+21	7.3924890474887053e+17
   0.07200	1.2477751472868714e+21	6.4184484491129190e+17
   0.07300	1.0555488946089599e+21	5.5839740495573754e+17
   0.07400	8.9500307818569374e+20	4.8675475640963981e+17
   0.07500	7.6063245023284481e+20	4.2511592563303744e+17
   0.07600	6.4793435724218394e+20	3.7197070317410278e+17
   0.07700	5.5321848853540327e+20	3.2605028579028678e+17
   0.07800	4.7345402694526599e+20	2.8628666693080838e+17
   0.07900	4.0592729805477675e+20	2.5178783160677933e+17
   0.08000	3.4866431854963897e+20	2.2180713059163008e+17
   0.08100	3.0002342017662950e+20	1.9570960933249101e+17
   0.08200	2.5863730642473117e+20	1.7295453125192352e+17
   0.08300	2.2336548322084641e+20	1.5308073413484442e+17
   0.08400	1.9325517716566265e+20	1.3569434914022147e+17
   0.08500	1.6750919786434354e+20	1.2045849079002904e+17
   0.08600	1.4545948318792873e+20	1.0708459210371350e+17
   0.08700	1.2654167630283076e+20	9.5325271407459440e+16
   0.08800	1.1027053909044142e+20	8.4968804768306880e+16
   0.08900	9.6254955804063564e+19	7.5833555515046624e+16
   0.09000	8.4134537608783004e+19	6.7764155789370568e+16
   0.09100	7.3639710234885964e+19	6.0627494781288024e+16
   0.09200	6.4540936637662405e+19	5.4308004880268240e+16
